UNIQUEID,wgs_xF,wgs_yF,PERS106,exp5nrm,exp3nrm,rough_1k,prad_sw_di,etpt_5,mind_yr_av,prec_winte,tave_sprin
Z4903020902782063,-113.827944,38.951555,0,-11,0,7.465070248,-6107,93,-1525,9.666666667,85.33333333
Z4903020902782172,-113.203561,39.28037,0,0,0,6.049250603,-6086,93,-1473.583333,14.33333333,81.33333333
Z4903020902782271,-113.65335,38.910611,0,-18,-9,3.77257514,-6089,93,-1509,11.66666667,82.66666667
Z4903020902782835,-112.913877,39.285494,0,-2,0,2.09035778,-6113,94,-1541.833333,13,93
Z4903020902782851,-113.209232,39.460452,0,-13,-4,6.788403511,-6117,93,-1454,14.33333333,81.33333333
Z4903020902783941,-112.439128,38.751688,0,-38,-64,56.69174194,-6276,90,-1283.166667,25.33333333,75.33333333
Z4903020902785819,-113.660088,39.090645,0,17,-6,52.96731949,-6057,92,-1396.833333,17.33333333,67.66666667
Z4903020902786272,-112.29655,39.131817,0,-14,-4,4.658477783,-6104,94,-1487.583333,23.33333333,93
Z4903020902786405,-112.61282,38.794475,0,17,11,3.83950758,-6100,93,-1496.416667,18.66666667,90.33333333
Z4903020902787302,-113.962036,39.398662,0,-13,-6,1.271720409,-6090,94,-1589.25,7.333333333,92.33333333
Z4903020902788810,-113.699058,38.594226,0,-7,-1,1.603625894,-6080,93,-1549.75,11,88
Z4903020903183628,-112.030017,38.305442,1,73,94,38.29507446,-5897,87,-1110.25,22,30.66666667
Z4903020903982605,-111.351179,39.796359,0,176,160,32.3836174,-6164,78,-591.6666667,68,-6
Z4903020903983616,-111.350197,39.616058,0,144,151,81.92804718,-5969,86,-934.3333333,49.33333333,18.66666667
Z4903020903984977,-111.98653,39.297055,1,-27,-104,37.06274414,-6167,90,-1232.916667,32.33333333,61.66666667
Z4903020903985200,-111.833287,39.090991,0,-19,-7,1.884653568,-6068,93,-1484.5,19.66666667,91
Z4903020903988765,-111.348599,39.300821,1,-298,-299,37.16507721,-5829,86,-951.25,43.66666667,16.33333333
Z4903020903988833,-111.983978,39.116841,1,48,10,24.14230537,-6124,90,-1231.833333,30.66666667,56
Z4903020904185179,-112.149433,38.619724,0,-60,-25,2.873845816,-6061,93,-1505.416667,17,85
Z4903020904186453,-111.38161,38.958135,1,-131,-144,93.11985016,-5935,88,-1122.833333,26,37.33333333
Z4903020905582239,-111.401934,38.489615,1,-28,-19,72.58257294,-6058,88,-1170.833333,17,42.66666667
Z4903020905589098,-110.657144,38.399562,0,-51,-38,12.64198589,-6036,96,-1696.666667,8,121.3333333
Z4903021002380117,-113.512582,39.814642,0,-74,-37,8.813322067,-6175,93,-1527.833333,9.666666667,92.33333333
Z4903021002380589,-112.870395,39.826776,0,-40,-32,17.33350563,-6213,92,-1380.833333,19,76.33333333
Z4903021002381794,-111.935747,39.838084,0,136,77,44.45987701,-6250,91,-1202.5,40,61.66666667
Z4903021002382021,-112.696299,39.8745,0,-52,-41,18.90369987,-6074,93,-1458.75,18,79.66666667
Z4903021002383115,-112.227879,39.835356,0,-3,5,15.30364704,-6120,92,-1359.583333,25.33333333,73.66666667
Z4903021002383251,-111.79582,39.866159,0,15,51,149.9075012,-6007,85,-905.5833333,52.66666667,41.66666667
Z4903021002384705,-113.631016,39.857058,0,-3,-1,1.72574091,-6128,94,-1579.25,8.333333333,96
Z4903021002386026,-112.10385,39.386098,0,-35,-16,3.984046459,-6088,94,-1432.916667,26.33333333,89
Z4903021002780346,-113.501193,39.499581,0,-10,-12,4.361111641,-6151,94,-1566.25,9,96.33333333
Z4903021002781801,-113.023294,39.058394,0,-2,0,0,-6099,94,-1559.083333,11.66666667,95
Z4903021002782002,-112.441967,38.886818,0,-11,-6,2.5870502,-6099,94,-1533,18.66666667,95.66666667
Z4903021002782469,-113.014367,38.743184,0,-40,-21,5.42432785,-6053,94,-1513.75,13.66666667,86.33333333
Z4903021002782584,-113.933941,38.723709,0,-44,-25,12.25573826,-6110,92,-1471.25,13.66666667,78.66666667
Z4903021002783441,-113.494765,39.319537,0,-7,-3,0.623123467,-6209,94,-1595.25,8,98
Z4903021002783704,-113.647799,39.379217,0,-35,-15,8.768280029,-6104,94,-1564.25,9,91.33333333
Z4903021002784040,-113.31793,39.2331,0,12,36,19.08826828,-6079,91,-1344.75,21.33333333,63
Z4903021002784728,-113.800642,38.844103,0,219,209,33.07472229,-6197,89,-1223.083333,25.66666667,54.33333333
Z4903021002784768,-113.478943,38.869398,0,169,185,50.23131561,-6051,91,-1342.25,21.33333333,62.66666667
Z4903021002784932,-112.575909,38.686846,1,36,66,47.22399902,-6063,92,-1337.833333,27.33333333,72.33333333
Z4903021002786195,-113.322391,39.368153,0,248,200,80.8031311,-5891,88,-1020,40,33.33333333
Z4903021002786296,-112.742268,39.378289,0,0,0,0.985295951,-6118,94,-1535.166667,14.33333333,93
Z4903021002786356,-112.86191,39.511581,0,-6,-1,2.485086918,-6129,94,-1529.583333,13.66666667,92
Z4903021002788768,-113.185481,38.695056,0,-25,-10,7.930576324,-6112,93,-1510.666667,11.33333333,90
Z4903021002789147,-113.341325,38.890261,0,79,77,37.29760361,-6146,92,-1401.833333,16,74
Z4903021003182987,-112.145857,38.394468,0,-98,-53,30.7081337,-5920,92,-1442,13.33333333,64.66666667
Z4903021003980084,-111.639004,39.344527,0,-24,-7,0.637545824,-6089,93,-1412.416667,23.33333333,81.33333333
Z4903021003983022,-111.641899,39.659881,0,-105,-76,15.45881176,-6050,91,-1221.333333,38,57
Z4903021004180230,-112.2627,38.528442,0,-290,-305,66.63264465,-5968,91,-1404.5,19,69.66666667
Z4903021004180411,-111.805869,38.71271,0,-82,-37,30.97343254,-6098,88,-1136.833333,21.66666667,39.33333333
Z4903021004181425,-111.520628,39.029731,0,242,243,21.67038727,-6037,70,-580.0833333,61,-17
Z4903021004181956,-111.634547,38.848939,0,-119,-123,69.31230164,-6112,88,-1166.916667,21.33333333,46
Z4903021004183395,-112.265073,38.663588,1,46,7,34.67281342,-5911,89,-1130.666667,30.66666667,41.66666667
Z4903021004184118,-111.980231,38.846548,0,-56,-13,4.471898556,-6074,93,-1504.5,18.66666667,87.66666667
Z4903021004187593,-111.975928,38.531185,0,32,17,15.3052578,-5976,82,-874.4166667,38.66666667,9
Z4903021004188509,-112.435639,38.571505,1,-130,-110,79.64800262,-6031,91,-1261.583333,29,56.66666667
Z4903021005583085,-110.600876,38.219135,0,-10,0,7.342494488,-6071,95,-1661.5,9.666666667,116
Z4903021005583391,-110.771381,38.489964,0,12,19,9.008027077,-6031,96,-1671.5,7.666666667,114.3333333
Z4903021005585043,-110.027924,38.350969,0,-41,-53,8.690241814,-6100,95,-1655.916667,9.666666667,126.3333333
Z4903021005586183,-111.514795,38.218687,0,233,136,78.49012756,-6207,76,-688.5,43.66666667,-3
Z4903021005588727,-110.140755,38.487033,0,22,11,11.1602602,-6085,95,-1604.5,9.333333333,106.3333333
Z4903021005588883,-110.029728,38.2158,0,54,44,45.21541214,-5984,95,-1612.333333,10.33333333,104.6666667
Z4904020100780481,-110.066735,39.747606,1,20,-43,46.0166893,-6081,92,-1317.083333,16.66666667,63.33333333
Z4904020100783675,-110.825603,39.751626,1,-124,-168,82.58082581,-6011,90,-1124.75,27.33333333,39
Z4904020100785378,-110.534117,39.70577,0,56,-19,47.75770569,-6047,87,-1022.75,29,22
