"UNIQUEID","wgs_xF","wgs_yF","PERS106","exp5nrm","exp3nrm","rough_1k","prad_sw_di","etpt_5","mind_yr_av","prec_winte","tave_sprin"
"Z4905020702586445",-111.509834,37.497647,1,-66,-37,42.51200104,-5977,94,-1561.916667,18.33333333,90.33333333
"Z4905020702588479",-112.389241,37.337389,1,-46,-40,20.86418533,-5883,92,-1371.833333,34.33333333,67.66666667
"Z4905020801780231",-110.830142,37.994163,1,-92,-71,43.37748337,-6039,91,-1360.25,19.66666667,64.66666667
"Z4905020801780583",-111.000715,38.039558,1,54,44,60.31484985,-6082,94,-1536.666667,13.33333333,92.33333333
"Z4905020801786675",-112.194991,37.898208,1,-68,-120,37.16123199,-5878,85,-959.9166667,35.66666667,16.66666667
"Z4905020802580490",-112.353282,37.220593,1,75,126,53.57831573,-5918,93,-1407.166667,34.33333333,73.33333333
"Z4905020802580978",-111.170218,37.363551,1,-48,-41,39.33566666,-6137,92,-1530.25,17.66666667,101.6666667
"Z4905020802581809",-112.071533,37.223521,1,131,85,24.5868988,-5924,93,-1439.666667,27.66666667,75.33333333
"Z4905020802585574",-111.734692,37.361283,1,41,51,19.39708328,-6021,94,-1548.416667,19.33333333,90.66666667
"Z4905020802586072",-112.350724,37.040152,1,-50,-27,24.1343441,-5911,95,-1679.083333,27,108.3333333
"Z4905020802587209",-112.80499,37.259629,1,19,41,25.29830933,-5760,93,-1378.333333,40.66666667,69.66666667
"Z4905020802587560",-111.622156,37.406998,1,-5,11,7.195474148,-5941,94,-1577,19,90.33333333
"Z4905020805382449",-113.26394,37.522069,1,44,23,42.10382843,-5709,94,-1438,37,73.66666667
"Z4905020901781137",-111.262752,38.102121,1,-12,5,17.16250038,-5968,91,-1371,17,57.66666667
"Z4905020901781866",-112.025616,37.990035,1,61,68,21.62850761,-5994,88,-1156.083333,16.33333333,36.33333333
"Z4905020901782144",-112.170509,37.781359,1,-33,-13,6.715540409,-5968,88,-1110.416667,24.33333333,34.33333333
"Z4905020901783541",-112.138774,37.944109,1,-94,-90,54.1406517,-5935,85,-1002.333333,30.66666667,19.66666667
"Z4905020901788777",-111.114828,38.129603,1,53,59,30.1771946,-6015,94,-1547.833333,12,90.66666667
"Z4905020902182134",-112.483789,38.120332,1,56,26,44.00897217,-5993,86,-969.9166667,38.66666667,28
"Z4905020902581087",-112.637573,37.352149,1,-100,-129,38.27414703,-5965,91,-1307.833333,38,67.33333333
"Z4905020902583785",-112.018807,37.494364,1,-62,-34,16.23096848,-5981,94,-1554.583333,20.66666667,91
"Z4905020902586043",-111.880709,37.288156,1,147,200,39.7226181,-5912,94,-1553.833333,21.66666667,86.33333333
"Z4905020905387790",-113.523376,37.498903,1,-49,-56,25.22884369,-6055,91,-1227.666667,40,60.33333333
"Z4905020905388954",-113.083108,37.119917,1,165,142,127.3934402,-6147,93,-1546,33.66666667,111.3333333
"Z4905021000180190",-113.175963,38.379861,1,76,57,19.71529388,-6095,91,-1339.916667,22.33333333,66
"Z4905021000181697",-113.628615,38.235426,1,-30,-22,9.52752018,-5994,91,-1318.833333,26,58
"Z4905021000182372",-112.885234,38.204673,1,48,59,22.05886269,-6170,91,-1312,23.66666667,70.33333333
"Z4905021001780743",-111.398597,37.858625,1,130,151,32.31300735,-5990,93,-1460.166667,18,77.66666667
"Z4905021001781013",-110.203516,37.991793,1,108,47,24.42473221,-5930,95,-1634.166667,13.33333333,101.3333333
"Z4905021001782380",-112.193539,37.808185,1,-38,-77,32.11556625,-5905,86,-1033.5,31,24
"Z4905021001782959",-112.589098,37.713385,1,100,77,58.70943451,-5877,86,-933.5,46.66666667,21.33333333
"Z4905021001783750",-111.227662,37.723879,1,6,1,17.23879814,-5965,95,-1640.75,15.33333333,103
"Z4905021001783801",-111.512587,37.90325,1,-52,-24,33.98348236,-5990,92,-1442.25,16.33333333,70.66666667
"Z4905021001785346",-111.228216,37.904144,1,-15,13,29.0392704,-5931,94,-1573.5,15.33333333,90.33333333
"Z4905021002182417",-113.496093,37.697669,1,19,2,35.02179718,-6008,92,-1399.75,28.66666667,76
"Z4905021002188594",-113.212735,37.70333,1,31,13,25.56007767,-5945,93,-1449.666667,26,80.33333333
"Z4905021002586320",-111.565684,37.407264,1,22,30,67.33003235,-5851,95,-1630.916667,18,95.33333333
"Z5601020003701070",-109.275447,41.045191,1,-85,-96,27.07514954,-6167,89,-1135.166667,17.33333333,37.66666667
